Lenght,Eccen,P_black,P_and,Wb_trans,Class
12,1.5,0.396,0.99,20,negative
28,2.8,0.311,0.957,49,negative
41,4.1,0.356,0.956,68,negative
15,1.875,0.475,1,24,negative
12,1.5,0.438,1,20,negative
9,0.9,0.356,0.933,20,negative
36,3.6,0.367,0.789,58,negative
26,4.333,0.423,0.769,28,negative
24,6,0.573,0.958,27,negative
30,6,0.587,0.96,36,negative
71,8.875,0.289,0.574,100,negative
16,1.6,0.444,1,32,negative
14,1.4,0.371,0.886,18,negative
16,1.6,0.3,1,26,negative
15,1.5,0.3,1,24,negative
7,0.7,0.357,0.757,9,negative
74,7.4,0.303,0.708,103,negative
30,3.75,0.296,0.863,34,negative
51,5.1,0.337,0.773,81,negative
79,7.9,0.244,0.742,108,negative
127,11.545,0.266,0.686,166,negative
20,2,0.32,0.61,30,negative
20,2.857,0.464,0.9,24,negative
18,2,0.321,0.654,23,negative
35,3.5,0.311,0.72,58,negative
19,2.375,0.434,0.664,22,negative
64,5.818,0.25,0.597,88,negative
33,3.3,0.342,0.927,68,negative
16,1.6,0.338,0.888,26,negative
14,1.75,0.438,0.768,22,negative
76,7.6,0.322,0.689,123,negative
9,1.125,0.375,0.736,11,negative
21,2.625,0.435,0.917,31,negative
5,0.714,0.486,0.943,4,negative
7,1,0.347,0.633,6,negative
25,3.571,0.354,0.606,29,negative
53,5.889,0.335,0.602,66,negative
5,1,0.52,1,6,negative
14,2.8,0.557,0.871,14,negative
12,2,0.375,0.958,14,negative
20,4,0.54,0.95,23,negative
19,1.727,0.306,0.789,26,negative
59,7.375,0.307,0.775,79,negative
5,0.625,0.375,0.95,7,negative
6,0.75,0.333,0.979,9,negative
8,1,0.469,0.844,11,negative
41,4.1,0.302,0.69,60,negative
29,3.625,0.401,0.884,39,negative
19,2.375,0.454,1,32,negative
33,4.125,0.371,0.795,51,negative
6,0.857,0.5,1,9,negative
92,11.5,0.359,0.913,151,negative
10,2,0.56,0.96,12,negative
228,22.8,0.26,0.61,316,negative
18,1.8,0.311,0.706,29,negative
12,1.2,0.333,0.958,22,negative
18,1.8,0.294,0.883,27,negative
23,2.3,0.348,0.891,36,negative
24,3,0.318,0.974,39,negative
66,6.6,0.27,0.638,95,negative
62,8.857,0.392,0.871,91,negative
14,1.75,0.393,0.705,19,negative
7,1.4,0.571,1,8,negative
262,23.818,0.259,0.788,386,negative
15,1.875,0.458,0.908,22,negative
25,2.5,0.34,0.816,45,negative
7,0.875,0.482,0.946,10,negative
12,1.5,0.385,0.896,22,negative
13,1.625,0.471,1,27,negative
6,0.75,0.375,0.896,10,negative
30,3,0.357,0.87,50,negative
10,1,0.34,0.93,18,negative
12,1.5,0.396,0.969,21,negative
20,2.5,0.394,0.944,28,negative
16,2,0.383,0.742,21,negative
18,3,0.491,0.88,26,negative
4,0.667,0.583,1,3,negative
25,3.125,0.405,0.865,44,negative
24,3,0.318,0.688,23,negative
19,2.375,0.395,0.704,31,negative
8,1,0.438,0.813,6,negative
262,26.2,0.288,0.742,421,negative
39,4.875,0.423,0.955,72,negative
23,2.3,0.287,0.617,30,negative
27,3.857,0.402,0.746,42,negative
27,5.4,0.607,0.993,35,negative
20,2.857,0.436,0.736,26,negative
23,2.875,0.364,0.967,33,negative
20,2.5,0.425,1,30,negative
35,4.375,0.357,0.921,61,negative
30,3,0.333,0.93,56,negative
19,1.9,0.326,0.768,39,negative
46,4.6,0.317,0.683,79,negative
28,2.8,0.336,0.85,56,negative
41,5.125,0.378,0.945,77,negative
14,1.75,0.429,1,20,negative
33,3.3,0.345,0.779,60,negative
40,5,0.372,0.919,68,negative
20,2.857,0.464,1,29,negative
45,4.5,0.296,0.558,59,negative
18,3,0.444,0.991,28,negative
14,2.333,0.536,1,22,negative
4,0.8,0.7,1,6,negative
14,1.556,0.333,0.897,17,negative
60,7.5,0.335,0.915,87,negative
5,0.625,0.4,1,6,negative
41,4.1,0.278,0.632,59,negative
14,1.75,0.509,0.768,19,negative
23,2.875,0.451,0.832,40,negative
9,1.125,0.361,0.903,16,negative
12,1.5,0.385,0.948,25,negative
20,2.5,0.363,0.931,30,negative
16,2,0.359,0.781,23,negative
12,1.5,0.396,0.969,23,negative
14,1.75,0.384,0.795,25,negative
33,4.125,0.345,0.886,58,negative
46,4.6,0.3,0.604,66,negative
4,0.667,0.667,1,4,negative
49,6.125,0.413,0.76,84,negative
34,4.25,0.357,0.75,52,negative
10,1.667,0.483,0.933,14,negative
14,2.8,0.586,0.943,18,negative
261,23.727,0.243,0.524,361,negative
262,26.2,0.274,0.757,399,negative
260,26,0.282,0.737,412,negative
262,26.2,0.29,0.826,432,negative
11,1.375,0.477,0.966,21,negative
37,4.625,0.334,0.831,53,negative
24,3,0.26,0.672,27,negative
19,2.375,0.421,0.974,35,negative
33,4.125,0.326,0.848,43,negative
30,3,0.363,0.71,45,negative
7,0.875,0.482,0.946,11,negative
41,5.857,0.355,0.857,55,negative
30,3.75,0.342,0.896,41,negative
262,26.2,0.273,0.703,391,negative
53,6.625,0.347,0.767,76,negative
30,3.75,0.363,0.85,38,negative
18,2.25,0.438,0.979,23,negative
52,5.778,0.286,0.652,73,negative
29,2.9,0.29,0.803,46,negative
13,1.625,0.356,0.942,21,negative
9,1.125,0.361,0.792,12,negative
12,1.5,0.396,0.99,20,negative
22,2.2,0.309,0.582,29,negative
89,9.889,0.3,0.559,110,negative
26,2.6,0.35,0.819,39,negative
18,2,0.327,0.914,28,negative
4,0.444,0.444,1,2,negative
58,5.8,0.3,0.84,80,negative
18,2.25,0.389,0.931,25,negative
61,7.625,0.342,0.875,86,negative
19,2.375,0.428,0.961,37,negative
34,4.25,0.379,0.971,56,negative
27,2.7,0.367,0.83,53,negative
38,3.8,0.308,0.632,55,negative
12,1.5,0.479,1,21,negative
20,2.5,0.413,0.981,32,negative
16,2,0.422,0.992,29,negative
10,1.25,0.325,0.913,17,negative
22,2.75,0.398,0.818,34,negative
31,3.875,0.375,0.722,46,negative
34,3.4,0.303,0.815,56,negative
32,3.556,0.33,0.889,53,negative
25,3.125,0.415,1,44,negative
23,2.875,0.462,1,45,negative
12,1.5,0.417,0.927,23,negative
26,2.6,0.354,0.769,44,negative
261,23.727,0.251,0.661,361,negative
175,15.909,0.21,0.469,205,negative
40,5,0.363,0.806,69,negative
70,8.75,0.279,0.727,93,negative
262,26.2,0.281,0.691,390,negative
23,2.875,0.375,0.88,33,negative
39,4.875,0.369,0.99,56,negative
9,1.125,0.431,1,13,negative
10,1.25,0.363,0.913,9,negative
40,4,0.295,0.68,62,negative
14,2,0.5,1,18,negative
30,3.333,0.304,0.711,44,negative
25,3.571,0.434,1,42,negative
26,5.2,0.523,0.985,36,negative
12,1.5,0.427,0.906,19,negative
53,5.3,0.294,0.908,89,negative
99,9.9,0.264,0.774,136,negative
31,3.1,0.339,0.713,49,negative
9,0.9,0.3,0.778,12,negative
54,5.4,0.306,0.689,85,negative
50,6.25,0.378,0.915,89,negative
15,1.875,0.417,0.925,23,negative
35,4.375,0.393,0.918,56,negative
34,3.4,0.279,0.8,51,negative
16,2,0.344,0.898,23,negative
12,1.714,0.393,0.69,14,negative
24,3,0.438,0.839,43,negative
17,2.125,0.382,0.86,21,negative
19,2.375,0.388,0.809,30,negative
24,3,0.323,0.688,28,negative
31,3.1,0.329,0.952,49,negative
80,10,0.347,0.933,127,negative
15,1.667,0.244,0.83,21,negative
74,6.727,0.247,0.695,102,negative
39,3.9,0.308,0.721,71,negative
73,7.3,0.273,0.79,108,negative
33,4.125,0.356,0.705,47,negative
8,1.6,0.675,0.975,9,negative
4,0.667,0.583,0.792,4,negative
251,25.1,0.281,0.708,398,negative
52,5.2,0.298,0.752,74,negative
25,3.125,0.31,0.67,38,negative
9,1.125,0.375,0.986,13,negative
35,4.375,0.396,0.986,59,negative
17,2.125,0.419,0.956,27,negative
18,2.571,0.357,0.865,21,negative
38,5.429,0.353,0.902,46,negative
4,0.667,0.542,1,7,negative
21,3,0.313,0.667,22,negative
242,24.2,0.26,0.579,303,negative
63,6.3,0.298,0.795,109,negative
29,3.222,0.318,0.893,48,negative
5,0.625,0.425,1,11,negative
25,3.125,0.335,0.77,40,negative
9,1.125,0.389,0.708,12,negative
56,6.222,0.343,0.706,88,negative
14,2,0.286,1,15,negative
7,1.167,0.476,0.976,9,negative
23,3.833,0.377,0.862,22,negative
261,26.1,0.269,0.713,388,negative
262,23.818,0.242,0.618,364,negative
261,23.727,0.246,0.638,366,negative
7,0.875,0.429,1,9,negative
14,1.75,0.339,0.884,22,negative
52,5.2,0.294,0.675,72,negative
18,2.571,0.468,1,21,negative
17,2.125,0.441,0.978,36,negative
12,1.5,0.458,0.865,21,negative
23,2.875,0.353,0.826,34,negative
31,3.1,0.284,0.835,52,negative
13,1.625,0.452,0.971,24,negative
4,0.5,0.594,1,7,negative
13,1.625,0.423,0.923,25,negative
12,1.5,0.521,0.958,20,negative
41,4.1,0.324,0.81,71,negative
9,1,0.296,0.901,15,negative
22,2.75,0.375,0.909,37,negative
120,12,0.279,0.765,197,negative
64,7.111,0.177,0.479,44,negative
53,7.571,0.342,0.58,53,negative
33,4.125,0.436,0.886,61,negative
42,4.667,0.325,0.823,72,negative
13,1.857,0.429,0.945,19,negative
18,2.571,0.397,0.984,28,negative
19,2.714,0.451,0.97,22,negative
4,0.571,0.536,1,3,negative
20,2.857,0.407,0.929,29,negative
29,3.222,0.307,0.648,41,negative
46,5.111,0.316,0.857,76,negative
13,1.625,0.365,0.933,23,negative
12,1.5,0.385,0.698,15,negative
50,6.25,0.36,0.728,73,negative
9,1.286,0.365,0.698,14,negative
27,2.7,0.3,0.644,41,negative
41,5.857,0.422,1,70,negative
18,2,0.327,0.765,29,negative
7,1.4,0.686,1,8,negative
14,2.8,0.543,0.929,19,negative
27,5.4,0.548,1,34,negative
7,1.4,0.6,1,9,negative
15,3,0.547,0.947,20,negative
32,4,0.375,0.98,46,negative
5,0.625,0.525,1,7,negative
26,3.25,0.37,0.822,44,negative
25,3.125,0.38,0.795,42,negative
52,6.5,0.38,0.88,84,negative
15,1.875,0.425,0.925,26,negative
24,3,0.375,0.964,40,negative
22,2.75,0.426,1,31,negative
119,11.9,0.275,0.665,178,negative
34,3.4,0.303,0.8,57,negative
7,0.875,0.518,1,11,negative
63,7.875,0.333,0.734,106,negative
8,1.333,0.5,1,11,negative
7,1.167,0.5,1,12,negative
261,23.727,0.231,0.596,354,negative
15,1.875,0.458,0.95,25,negative
157,15.7,0.233,0.565,222,negative
171,17.1,0.126,0.452,121,negative
16,3.2,0.563,0.925,17,negative
108,13.5,0.348,0.868,182,negative
44,4.4,0.35,0.957,81,negative
24,3,0.385,0.969,41,negative
26,3.25,0.24,0.563,20,negative
52,5.2,0.269,0.85,70,negative
43,5.375,0.34,0.892,64,negative
5,0.625,0.475,1,8,negative
6,0.75,0.417,0.917,9,negative
9,1.125,0.389,0.792,14,negative
12,1.5,0.396,0.844,18,negative
20,2.857,0.429,1,31,negative
16,2.286,0.438,0.857,24,negative
36,3.6,0.264,0.711,51,negative
56,6.222,0.327,0.688,85,negative
7,1.167,0.452,0.833,9,negative
97,8.818,0.266,0.635,139,negative
9,0.9,0.344,0.856,18,negative
37,3.7,0.33,0.897,61,negative
14,1.4,0.314,0.9,23,negative
40,4,0.295,0.683,57,negative
41,4.1,0.266,0.539,55,negative
212,21.2,0.24,0.61,274,negative
45,4.5,0.282,0.718,69,negative
18,2.25,0.403,1,36,negative
38,4.75,0.339,0.766,59,negative
45,6.429,0.381,0.771,54,negative
16,2.667,0.49,0.844,24,negative
40,4.444,0.275,0.875,62,negative
20,2,0.375,0.855,33,negative
16,2,0.406,0.93,31,negative
21,2.625,0.417,0.958,36,negative
7,0.875,0.357,0.964,11,negative
4,0.5,0.406,0.781,6,negative
32,4,0.387,0.895,61,negative
23,2.3,0.343,0.791,42,negative
9,1.286,0.397,0.841,9,negative
33,3.667,0.36,0.818,53,negative
4,0.667,0.5,0.75,2,negative
262,23.818,0.251,0.677,391,negative
132,12,0.189,0.44,134,negative
168,21,0.32,0.909,245,negative
9,1.125,0.278,0.5,7,negative
31,3.875,0.347,0.734,48,negative
72,10.286,0.405,0.845,110,negative
14,1.75,0.42,0.786,25,negative
39,4.333,0.308,0.709,64,negative
23,2.3,0.37,0.83,37,negative
31,4.429,0.396,0.862,41,negative
14,2,0.408,0.939,16,negative
9,1.286,0.429,0.667,9,negative
33,4.125,0.375,0.83,52,negative
18,2.571,0.413,0.952,28,negative
3,0.429,0.571,1,4,negative
28,3.5,0.397,0.996,43,negative
16,2,0.367,0.969,25,negative
6,0.75,0.313,0.792,5,negative
39,3.9,0.31,0.779,62,negative
22,2.2,0.332,0.714,34,negative
262,23.818,0.238,0.57,373,negative
29,3.625,0.341,0.78,41,negative
45,4.5,0.296,0.584,65,negative
6,0.857,0.548,0.952,9,negative
31,4.429,0.461,0.922,47,negative
15,3,0.56,0.92,19,negative
261,26.1,0.264,0.679,390,negative
100,10,0.267,0.724,147,negative
93,9.3,0.268,0.784,140,negative
59,5.9,0.251,0.763,87,negative
78,7.8,0.255,0.751,113,negative
25,3.125,0.3,0.59,27,negative
43,4.3,0.256,0.707,61,negative
10,1.111,0.389,0.889,18,negative
3,0.375,0.5,1,4,negative
36,4.5,0.323,0.781,50,negative
18,2.25,0.174,0.458,10,negative
7,0.875,0.339,0.964,14,negative
14,1.75,0.402,1,29,negative
46,5.75,0.356,0.957,73,negative
22,3.143,0.396,1,33,negative
20,2.857,0.464,0.986,28,negative
48,6,0.354,0.865,72,negative
9,1.286,0.46,0.889,12,negative
35,5,0.404,0.939,52,negative
8,1.143,0.411,0.714,10,negative
11,1.571,0.455,0.974,20,negative
25,3.571,0.349,0.737,27,negative
119,14.875,0.337,0.92,189,negative
39,4.875,0.304,0.756,69,negative
20,2.857,0.336,0.707,21,negative
4,0.571,0.393,1,5,negative
6,0.857,0.357,1,9,negative
35,3.5,0.091,0.157,12,negative
49,7,0.318,0.612,57,negative
3,0.429,0.571,1,3,negative
23,3.286,0.348,1,41,negative
23,4.6,0.452,0.913,29,negative
112,10.182,0.217,0.469,154,negative
23,2.875,0.321,0.897,39,negative
116,11.6,0.246,0.759,178,negative
25,2.5,0.332,0.772,44,negative
40,5,0.347,0.913,68,negative
48,4.8,0.3,0.556,67,negative
12,1.5,0.427,0.75,20,negative
18,2.25,0.354,0.757,31,negative
24,3,0.328,0.625,36,negative
16,2,0.383,0.781,29,negative
33,4.125,0.371,0.678,52,negative
53,6.625,0.38,0.915,86,negative
22,2.2,0.318,0.777,39,negative
176,17.6,0.257,0.583,263,negative
12,1.714,0.405,0.988,21,negative
25,3.125,0.355,0.88,41,negative
36,5.143,0.409,0.861,56,negative
43,5.375,0.326,0.75,62,negative
12,1.714,0.452,0.952,19,negative
16,2.286,0.42,0.768,24,negative
22,2.2,0.277,0.595,35,negative
41,5.125,0.323,0.643,64,negative
8,1.333,0.458,0.729,9,negative
67,3.045,0.221,0.919,112,negative
67,0.779,0.164,0.935,399,positive
67,4.467,0.293,0.607,82,negative
69,5.75,0.407,0.833,107,negative
106,3.926,0.261,0.478,137,negative
225,17.308,0.253,0.893,226,negative
38,2.923,0.314,0.957,43,negative
177,7.375,0.508,0.927,268,negative
280,11.667,0.449,0.904,389,negative
185,7.4,0.479,0.95,306,negative
291,11.64,0.466,0.957,462,negative
73,8.111,0.376,0.846,94,negative
98,12.25,0.221,0.874,122,negative
111,12.333,0.188,0.769,126,negative
63,9,0.317,0.991,82,negative
99,0.98,0.14,0.778,691,positive
32,1.143,0.459,0.73,69,negative
214,30.571,0.449,0.899,243,negative
82,10.25,0.396,0.713,99,negative
179,19.889,0.341,0.745,229,negative
106,13.25,0.358,0.698,133,negative
103,11.444,0.369,0.877,134,negative
123,13.667,0.346,0.74,173,negative
184,18.4,0.325,0.626,232,negative
165,18.333,0.337,0.713,197,negative
536,268,0.505,0.512,3,positive
353,44.125,0.07,0.292,165,negative
144,20.571,0.092,0.384,75,negative
11,1.571,0.234,0.545,7,negative
536,268,0.538,0.737,19,positive
233,29.125,0.262,0.838,309,negative
32,5.333,0.286,0.891,39,negative
509,50.9,0.097,0.388,401,negative
9,3,0.296,0.667,4,negative
13,13,0.769,1,2,negative
304,33.778,0.202,0.749,419,negative
51,7.286,0.207,0.969,65,negative
13,1.857,0.286,0.934,16,negative
88,88,0.193,1,17,negative
132,14.667,0.168,0.693,149,negative
13,1.857,0.242,0.912,15,negative
268,29.778,0.183,0.686,341,negative
509,56.556,0.123,0.501,448,negative
13,1.857,0.264,0.879,13,negative
535,267.5,0.564,0.614,15,positive
81,16.2,0.311,0.968,97,negative
347,38.556,0.111,0.433,275,negative
150,18.75,0.158,0.594,154,negative
12,2,0.278,1,9,negative
536,268,0.537,0.622,24,positive
91,13,0.334,0.975,121,negative
31,6.2,0.361,0.974,36,negative
510,56.667,0.149,0.541,561,negative
12,1.714,0.226,0.786,10,negative
465,51.667,0.157,0.644,532,negative
135,16.875,0.131,0.671,116,negative
11,1.571,0.234,0.935,11,negative
19,9.5,0.184,0.789,5,negative
35,35,0.2,1,6,negative
89,89,0.191,1,16,negative
40,40,0.175,1,6,negative
536,268,0.498,0.533,13,positive
7,1.75,0.286,0.571,1,negative
82,13.667,0.274,0.925,97,negative
280,35,0.191,0.709,333,negative
69,8.625,0.098,0.344,39,negative
12,2,0.292,0.778,13,negative
343,38.111,0.162,0.677,401,negative
80,11.429,0.102,0.468,41,negative
13,1.857,0.308,0.978,18,negative
60,60,0.217,1,12,negative
344,43,0.216,0.838,486,negative
103,12.875,0.142,0.62,100,negative
13,2.167,0.282,0.808,14,negative
331,36.778,0.126,0.527,308,negative
109,13.625,0.109,0.508,76,negative
13,1.857,0.198,0.846,8,negative
532,59.111,0.154,0.642,572,negative
13,2.6,0.154,0.662,1,negative
510,56.667,0.137,0.636,506,negative
13,2.167,0.256,0.974,13,negative
508,56.444,0.164,0.69,614,negative
518,57.556,0.096,0.429,360,negative
12,3,0.25,0.792,4,negative
145,18.125,0.156,0.773,146,negative
283,31.444,0.186,0.727,389,negative
453,50.333,0.08,0.363,269,negative
66,9.429,0.171,0.903,53,negative
535,267.5,0.648,0.92,59,positive
57,4.385,0.745,1,48,negative
226,17.385,0.258,0.971,243,negative
38,2.923,0.33,0.98,42,negative
60,2,0.154,0.457,150,positive
98,19.6,0.341,0.639,78,negative
4,0.8,0.4,0.7,3,negative
176,7.333,0.496,0.969,267,negative
280,11.667,0.456,0.913,400,negative
4,0.8,0.4,0.4,1,negative
5,1,0.36,0.56,3,negative
186,7.44,0.478,0.953,310,negative
291,11.64,0.456,0.934,455,negative
73,9.125,0.433,0.875,92,negative
100,14.286,0.283,0.987,118,negative
63,9,0.288,0.991,79,negative
110,13.75,0.23,0.872,122,negative
31,1.107,0.492,0.745,57,positive
214,30.571,0.461,0.865,234,negative
4,0.667,0.417,0.583,2,negative
4,1,0.5,0.5,1,negative
82,10.25,0.418,0.753,109,negative
4,0.8,0.35,0.6,3,negative
180,20,0.374,0.759,212,negative
107,11.889,0.357,0.693,141,negative
102,12.75,0.403,0.929,122,negative
123,15.375,0.402,0.75,146,negative
4,1,0.438,0.438,1,negative
185,20.556,0.398,0.783,238,negative
166,18.444,0.392,0.75,190,negative
4,0.8,0.45,0.45,1,negative
536,268,0.532,0.558,19,positive
31,6.2,0.355,0.974,37,negative
84,10.5,0.229,0.689,110,negative
240,26.667,0.179,0.605,306,negative
272,30.222,0.137,0.532,252,negative
148,16.444,0.194,0.685,189,negative
535,59.444,0.126,0.444,469,negative
508,56.444,0.188,0.597,579,negative
519,74.143,0.073,0.394,215,negative
535,59.444,0.088,0.318,310,negative
508,50.8,0.1,0.343,372,negative
163,23.286,0.212,0.831,185,negative
101,11.222,0.211,0.816,140,negative
508,56.444,0.16,0.52,563,negative
520,57.778,0.081,0.308,276,negative
535,267.5,0.545,0.629,24,positive
81,13.5,0.282,0.957,102,negative
148,18.5,0.208,0.725,198,negative
534,59.333,0.134,0.503,482,negative
306,34,0.192,0.751,378,negative
174,21.75,0.161,0.72,172,negative
534,59.333,0.131,0.516,479,negative
534,53.4,0.132,0.519,548,negative
267,29.667,0.131,0.517,234,negative
196,24.5,0.142,0.644,159,negative
534,59.333,0.184,0.733,661,negative
534,59.333,0.102,0.417,351,negative
101,12.625,0.222,0.834,139,negative
275,30.556,0.202,0.717,359,negative
197,28.143,0.072,0.326,66,negative
536,178.67,0.341,0.353,9,positive
106,3.313,0.198,0.395,147,positive
298,21.286,0.207,0.71,247,negative
38,2.923,0.332,0.935,41,negative
468,19.5,0.472,0.922,689,negative
491,19.64,0.454,0.937,773,negative
75,9.375,0.423,0.87,84,negative
95,13.571,0.296,0.982,120,negative
61,8.714,0.319,0.988,77,negative
108,12,0.222,0.778,125,negative
32,1.143,0.481,0.742,58,positive
214,26.75,0.421,0.807,248,negative
83,10.375,0.404,0.741,104,negative
107,13.375,0.381,0.77,136,negative
180,20,0.343,0.738,225,negative
248,27.556,0.33,0.727,308,negative
103,11.444,0.383,0.825,129,negative
169,18.778,0.353,0.742,212,negative
185,18.5,0.36,0.688,237,negative
470,156.67,0.352,0.387,21,positive
64,32,0.43,0.602,14,positive
29,4.833,0.368,0.954,37,negative
150,18.75,0.205,0.628,187,negative
275,34.375,0.209,0.737,351,negative
245,27.222,0.16,0.607,254,negative
508,56.444,0.184,0.705,640,negative
256,36.571,0.135,0.603,178,negative
249,249,0.173,1,42,negative
534,59.333,0.163,0.633,585,negative
508,50.8,0.131,0.51,527,negative
508,63.5,0.092,0.393,290,negative
69,7.667,0.209,0.808,94,negative
532,66.5,0.192,0.72,636,negative
103,17.167,0.248,0.909,124,negative
274,34.25,0.15,0.583,244,negative
150,21.429,0.178,0.774,138,negative
34,4.857,0.282,0.782,45,negative
533,59.222,0.167,0.592,596,negative
62,10.333,0.234,0.852,64,negative
274,30.444,0.158,0.58,298,negative
193,27.571,0.206,0.813,203,negative
107,11.889,0.191,0.739,135,negative
464,51.556,0.158,0.55,505,negative
256,32,0.124,0.563,200,negative
263,263,0.152,1,39,negative
499,49.9,0.147,0.631,575,negative
305,43.571,0.109,0.501,191,negative
200,200,0.13,1,25,negative
277,277,1,1,1,positive
257,257,1,1,1,positive
147,21,0.215,0.956,173,negative
350,10.938,0.142,0.402,401,positive
37,2.846,0.322,0.992,44,negative
471,18.84,0.449,0.886,678,negative
495,19.8,0.464,0.952,784,negative
59,7.375,0.381,0.873,65,negative
96,13.714,0.314,0.988,119,negative
62,7.75,0.296,0.869,81,negative
109,12.111,0.219,0.779,129,negative
31,1.069,0.463,0.726,60,positive
216,30.857,0.458,0.856,223,negative
83,10.375,0.437,0.866,115,negative
182,20.222,0.378,0.789,210,negative
108,12,0.329,0.691,141,negative
249,24.9,0.294,0.636,315,negative
103,12.875,0.425,0.933,129,negative
187,20.778,0.42,0.786,233,negative
170,18.889,0.371,0.766,218,negative
537,268.5,0.507,0.528,3,positive
29,4.833,0.42,0.937,38,negative
152,19,0.199,0.677,191,negative
535,66.875,0.164,0.6,520,negative
535,59.444,0.173,0.667,613,negative
535,59.444,0.191,0.788,676,negative
535,59.444,0.146,0.634,534,negative
534,59.333,0.14,0.518,507,negative
69,8.625,0.234,0.683,84,negative
138,15.333,0.155,0.717,144,negative
218,24.222,0.148,0.582,203,negative
537,268.5,0.594,0.655,30,positive
76,12.667,0.353,0.961,108,negative
152,21.714,0.214,0.73,179,negative
284,31.556,0.141,0.601,286,negative
228,32.571,0.154,0.548,175,negative
535,59.444,0.118,0.482,432,negative
535,53.5,0.113,0.458,447,negative
535,53.5,0.166,0.681,671,negative
536,59.556,0.154,0.602,547,negative
533,59.222,0.166,0.803,612,negative
537,179,0.345,0.405,25,positive
349,38.778,0.125,0.453,306,negative
537,268.5,0.51,0.534,11,positive
105,3.387,0.242,0.456,161,positive
38,2.714,0.227,0.844,41,negative
228,17.538,0.264,0.942,238,negative
471,19.625,0.474,0.921,679,negative
494,19.76,0.462,0.93,776,negative
62,7.75,0.361,0.877,59,negative
96,12,0.276,0.883,120,negative
62,7.75,0.308,0.948,80,negative
109,12.111,0.219,0.774,127,negative
32,1.143,0.488,0.743,62,positive
215,30.714,0.548,0.997,246,negative
83,9.222,0.376,0.687,113,negative
181,20.111,0.361,0.74,213,negative
107,13.375,0.363,0.734,139,negative
102,11.333,0.386,0.895,128,negative
250,27.778,0.347,0.737,320,negative
185,20.556,0.386,0.686,227,negative
169,18.778,0.343,0.696,200,negative
98,49,0.48,0.653,10,positive
415,207.5,0.505,0.578,25,positive
63,31.5,0.341,0.508,4,positive
29,5.8,0.4,0.966,36,negative
151,16.778,0.184,0.5,178,negative
535,59.444,0.163,0.6,561,negative
535,59.444,0.184,0.676,596,negative
279,31,0.097,0.339,181,negative
233,29.125,0.151,0.665,207,negative
510,56.667,0.148,0.537,513,negative
525,65.625,0.095,0.444,297,negative
536,59.556,0.189,0.813,662,negative
536,59.556,0.091,0.358,320,negative
299,33.222,0.133,0.574,274,negative
217,24.111,0.168,0.686,235,negative
102,11.333,0.183,0.804,132,negative
535,59.444,0.136,0.498,470,negative
86,12.286,0.244,0.831,116,negative
505,56.111,0.189,0.626,654,negative
475,237.5,0.504,0.544,5,positive
99,49.5,0.253,0.616,11,positive
75,12.5,0.356,0.973,109,negative
61,7.625,0.207,0.803,77,negative
336,33.6,0.163,0.623,415,negative
155,22.143,0.178,0.614,132,negative
535,59.444,0.165,0.636,573,negative
298,37.25,0.138,0.592,278,negative
219,31.286,0.182,0.798,222,negative
299,37.375,0.186,0.687,338,negative
219,24.333,0.109,0.538,150,negative
537,268.5,0.52,0.621,21,positive
198,24.75,0.215,0.832,260,negative
13,2.6,0.338,0.723,10,negative
537,537,1,1,1,positive
105,3.387,0.224,0.417,136,positive
228,17.538,0.24,0.933,235,negative
37,2.846,0.306,0.933,41,negative
178,7.417,0.483,0.933,258,negative
282,11.75,0.443,0.878,384,negative
294,11.308,0.453,0.917,456,negative
186,7.75,0.505,0.989,305,negative
101,14.429,0.501,0.973,111,negative
96,13.714,0.274,0.982,115,negative
61,8.714,0.321,0.965,77,negative
109,13.625,0.2,0.854,125,negative
32,1.143,0.462,0.722,59,positive
215,26.875,0.404,0.789,239,negative
83,10.375,0.393,0.7,108,negative
181,20.111,0.35,0.773,216,negative
108,12,0.345,0.645,137,negative
103,11.444,0.357,0.864,134,negative
250,27.778,0.305,0.711,314,negative
186,23.25,0.399,0.812,234,negative
169,18.778,0.333,0.726,220,negative
63,63,1,1,1,positive
186,186,0.828,1,17,positive
214,214,1,1,1,positive
29,5.8,0.317,0.952,33,negative
151,18.875,0.174,0.627,178,negative
251,25.1,0.151,0.567,293,negative
262,37.429,0.152,0.684,218,negative
207,23,0.177,0.632,255,negative
262,29.111,0.089,0.43,176,negative
280,31.111,0.165,0.684,336,negative
209,26.125,0.173,0.828,228,negative
103,11.444,0.164,0.771,125,negative
270,30,0.111,0.495,213,negative
198,28.286,0.17,0.713,174,negative
343,42.875,0.129,0.605,294,negative
175,25,0.186,0.906,188,negative
492,54.667,0.132,0.541,476,negative
174,19.333,0.15,0.738,193,negative
143,143,0.133,1,18,negative
109,109,0.183,1,19,negative
535,59.444,0.106,0.47,422,negative
86,8.6,0.145,0.637,103,negative
219,21.9,0.153,0.601,270,negative
59,8.429,0.15,0.576,45,negative
123,123,0.163,1,19,negative
62,8.857,0.189,0.756,64,negative
314,34.889,0.156,0.587,352,negative
80,11.429,0.155,0.698,74,negative
62,62,0.984,1,1,positive
148,148,0.986,1,2,positive
278,278,0.946,1,9,positive
75,15,0.269,0.979,83,negative
151,16.778,0.139,0.549,162,negative
251,25.1,0.141,0.621,287,negative
141,20.143,0.163,0.787,139,negative
60,60,0.2,1,11,negative
