Lenght,Eccen,P_black,P_and,Class
35,5,0.404,0.939,negative
8,1.143,0.411,0.714,negative
11,1.571,0.455,0.974,negative
25,3.571,0.349,0.737,negative
119,14.875,0.337,0.92,negative
39,4.875,0.304,0.756,negative
20,2.857,0.336,0.707,negative
4,0.571,0.393,1,negative
6,0.857,0.357,1,negative
35,3.5,0.091,0.157,negative
49,7,0.318,0.612,negative
3,0.429,0.571,1,negative
23,3.286,0.348,1,negative
23,4.6,0.452,0.913,negative
112,10.182,0.217,0.469,negative
23,2.875,0.321,0.897,negative
116,11.6,0.246,0.759,negative
25,2.5,0.332,0.772,negative
40,5,0.347,0.913,negative
48,4.8,0.3,0.556,negative
12,1.5,0.427,0.75,negative
18,2.25,0.354,0.757,negative
24,3,0.328,0.625,negative
16,2,0.383,0.781,negative
33,4.125,0.371,0.678,negative
53,6.625,0.38,0.915,negative
22,2.2,0.318,0.777,negative
176,17.6,0.257,0.583,negative
12,1.714,0.405,0.988,negative
25,3.125,0.355,0.88,negative
36,5.143,0.409,0.861,negative
43,5.375,0.326,0.75,negative
12,1.714,0.452,0.952,negative
16,2.286,0.42,0.768,negative
22,2.2,0.277,0.595,negative
41,5.125,0.323,0.643,negative
8,1.333,0.458,0.729,negative
67,3.045,0.221,0.919,negative
67,0.779,0.164,0.935,positive
67,4.467,0.293,0.607,negative
69,5.75,0.407,0.833,negative
106,3.926,0.261,0.478,negative
225,17.308,0.253,0.893,negative
38,2.923,0.314,0.957,negative
177,7.375,0.508,0.927,negative
280,11.667,0.449,0.904,negative
185,7.4,0.479,0.95,negative
291,11.64,0.466,0.957,negative
73,8.111,0.376,0.846,negative
98,12.25,0.221,0.874,negative
111,12.333,0.188,0.769,negative
63,9,0.317,0.991,negative
99,0.98,0.14,0.778,positive
32,1.143,0.459,0.73,negative
214,30.571,0.449,0.899,negative
82,10.25,0.396,0.713,negative
179,19.889,0.341,0.745,negative
106,13.25,0.358,0.698,negative
103,11.444,0.369,0.877,negative
123,13.667,0.346,0.74,negative
184,18.4,0.325,0.626,negative
165,18.333,0.337,0.713,negative
536,268,0.505,0.512,positive
353,44.125,0.07,0.292,negative
144,20.571,0.092,0.384,negative
11,1.571,0.234,0.545,negative
536,268,0.538,0.737,positive
233,29.125,0.262,0.838,negative
32,5.333,0.286,0.891,negative
509,50.9,0.097,0.388,negative
9,3,0.296,0.667,negative
13,13,0.769,1,negative
304,33.778,0.202,0.749,negative
51,7.286,0.207,0.969,negative
13,1.857,0.286,0.934,negative
88,88,0.193,1,negative
132,14.667,0.168,0.693,negative
13,1.857,0.242,0.912,negative
268,29.778,0.183,0.686,negative
509,56.556,0.123,0.501,negative
13,1.857,0.264,0.879,negative
535,267.5,0.564,0.614,positive
81,16.2,0.311,0.968,negative
347,38.556,0.111,0.433,negative
150,18.75,0.158,0.594,negative
12,2,0.278,1,negative
536,268,0.537,0.622,positive
91,13,0.334,0.975,negative
31,6.2,0.361,0.974,negative
510,56.667,0.149,0.541,negative
12,1.714,0.226,0.786,negative
465,51.667,0.157,0.644,negative
135,16.875,0.131,0.671,negative
11,1.571,0.234,0.935,negative
19,9.5,0.184,0.789,negative
35,35,0.2,1,negative
89,89,0.191,1,negative
40,40,0.175,1,negative
536,268,0.498,0.533,positive
7,1.75,0.286,0.571,negative
82,13.667,0.274,0.925,negative
280,35,0.191,0.709,negative
69,8.625,0.098,0.344,negative
12,2,0.292,0.778,negative
343,38.111,0.162,0.677,negative
80,11.429,0.102,0.468,negative
13,1.857,0.308,0.978,negative
60,60,0.217,1,negative
344,43,0.216,0.838,negative
103,12.875,0.142,0.62,negative
13,2.167,0.282,0.808,negative
331,36.778,0.126,0.527,negative
109,13.625,0.109,0.508,negative
13,1.857,0.198,0.846,negative
532,59.111,0.154,0.642,negative
13,2.6,0.154,0.662,negative
510,56.667,0.137,0.636,negative
13,2.167,0.256,0.974,negative
508,56.444,0.164,0.69,negative
518,57.556,0.096,0.429,negative
12,3,0.25,0.792,negative
145,18.125,0.156,0.773,negative
283,31.444,0.186,0.727,negative
453,50.333,0.08,0.363,negative
66,9.429,0.171,0.903,negative
535,267.5,0.648,0.92,positive
57,4.385,0.745,1,negative
226,17.385,0.258,0.971,negative
38,2.923,0.33,0.98,negative
60,2,0.154,0.457,positive
98,19.6,0.341,0.639,negative
4,0.8,0.4,0.7,negative
176,7.333,0.496,0.969,negative
280,11.667,0.456,0.913,negative
4,0.8,0.4,0.4,negative
5,1,0.36,0.56,negative
186,7.44,0.478,0.953,negative
291,11.64,0.456,0.934,negative
73,9.125,0.433,0.875,negative
100,14.286,0.283,0.987,negative
63,9,0.288,0.991,negative
110,13.75,0.23,0.872,negative
31,1.107,0.492,0.745,positive
214,30.571,0.461,0.865,negative
4,0.667,0.417,0.583,negative
4,1,0.5,0.5,negative
82,10.25,0.418,0.753,negative
4,0.8,0.35,0.6,negative
180,20,0.374,0.759,negative
107,11.889,0.357,0.693,negative
102,12.75,0.403,0.929,negative
123,15.375,0.402,0.75,negative
4,1,0.438,0.438,negative
185,20.556,0.398,0.783,negative
166,18.444,0.392,0.75,negative
4,0.8,0.45,0.45,negative
536,268,0.532,0.558,positive
31,6.2,0.355,0.974,negative
84,10.5,0.229,0.689,negative
240,26.667,0.179,0.605,negative
272,30.222,0.137,0.532,negative
148,16.444,0.194,0.685,negative
535,59.444,0.126,0.444,negative
508,56.444,0.188,0.597,negative
519,74.143,0.073,0.394,negative
535,59.444,0.088,0.318,negative
508,50.8,0.1,0.343,negative
163,23.286,0.212,0.831,negative
101,11.222,0.211,0.816,negative
508,56.444,0.16,0.52,negative
520,57.778,0.081,0.308,negative
535,267.5,0.545,0.629,positive
81,13.5,0.282,0.957,negative
148,18.5,0.208,0.725,negative
534,59.333,0.134,0.503,negative
306,34,0.192,0.751,negative
174,21.75,0.161,0.72,negative
534,59.333,0.131,0.516,negative
534,53.4,0.132,0.519,negative
267,29.667,0.131,0.517,negative
196,24.5,0.142,0.644,negative
534,59.333,0.184,0.733,negative
534,59.333,0.102,0.417,negative
101,12.625,0.222,0.834,negative
275,30.556,0.202,0.717,negative
197,28.143,0.072,0.326,negative
536,178.67,0.341,0.353,positive
106,3.313,0.198,0.395,positive
298,21.286,0.207,0.71,negative
38,2.923,0.332,0.935,negative
468,19.5,0.472,0.922,negative
491,19.64,0.454,0.937,negative
75,9.375,0.423,0.87,negative
95,13.571,0.296,0.982,negative
61,8.714,0.319,0.988,negative
108,12,0.222,0.778,negative
32,1.143,0.481,0.742,positive
214,26.75,0.421,0.807,negative
83,10.375,0.404,0.741,negative
107,13.375,0.381,0.77,negative
180,20,0.343,0.738,negative
248,27.556,0.33,0.727,negative
103,11.444,0.383,0.825,negative
169,18.778,0.353,0.742,negative
185,18.5,0.36,0.688,negative
470,156.67,0.352,0.387,positive
64,32,0.43,0.602,positive
29,4.833,0.368,0.954,negative
150,18.75,0.205,0.628,negative
275,34.375,0.209,0.737,negative
245,27.222,0.16,0.607,negative
508,56.444,0.184,0.705,negative
256,36.571,0.135,0.603,negative
249,249,0.173,1,negative
534,59.333,0.163,0.633,negative
508,50.8,0.131,0.51,negative
508,63.5,0.092,0.393,negative
69,7.667,0.209,0.808,negative
532,66.5,0.192,0.72,negative
103,17.167,0.248,0.909,negative
274,34.25,0.15,0.583,negative
150,21.429,0.178,0.774,negative
34,4.857,0.282,0.782,negative
533,59.222,0.167,0.592,negative
62,10.333,0.234,0.852,negative
274,30.444,0.158,0.58,negative
193,27.571,0.206,0.813,negative
107,11.889,0.191,0.739,negative
464,51.556,0.158,0.55,negative
256,32,0.124,0.563,negative
263,263,0.152,1,negative
499,49.9,0.147,0.631,negative
305,43.571,0.109,0.501,negative
200,200,0.13,1,negative
277,277,1,1,positive
257,257,1,1,positive
147,21,0.215,0.956,negative
350,10.938,0.142,0.402,positive
37,2.846,0.322,0.992,negative
471,18.84,0.449,0.886,negative
495,19.8,0.464,0.952,negative
59,7.375,0.381,0.873,negative
96,13.714,0.314,0.988,negative
62,7.75,0.296,0.869,negative
109,12.111,0.219,0.779,negative
31,1.069,0.463,0.726,positive
216,30.857,0.458,0.856,negative
83,10.375,0.437,0.866,negative
182,20.222,0.378,0.789,negative
108,12,0.329,0.691,negative
249,24.9,0.294,0.636,negative
103,12.875,0.425,0.933,negative
187,20.778,0.42,0.786,negative
170,18.889,0.371,0.766,negative
537,268.5,0.507,0.528,positive
29,4.833,0.42,0.937,negative
152,19,0.199,0.677,negative
535,66.875,0.164,0.6,negative
535,59.444,0.173,0.667,negative
535,59.444,0.191,0.788,negative
535,59.444,0.146,0.634,negative
534,59.333,0.14,0.518,negative
69,8.625,0.234,0.683,negative
138,15.333,0.155,0.717,negative
218,24.222,0.148,0.582,negative
537,268.5,0.594,0.655,positive
76,12.667,0.353,0.961,negative
152,21.714,0.214,0.73,negative
284,31.556,0.141,0.601,negative
228,32.571,0.154,0.548,negative
535,59.444,0.118,0.482,negative
535,53.5,0.113,0.458,negative
535,53.5,0.166,0.681,negative
536,59.556,0.154,0.602,negative
533,59.222,0.166,0.803,negative
537,179,0.345,0.405,positive
349,38.778,0.125,0.453,negative
537,268.5,0.51,0.534,positive
105,3.387,0.242,0.456,positive
38,2.714,0.227,0.844,negative
228,17.538,0.264,0.942,negative
471,19.625,0.474,0.921,negative
494,19.76,0.462,0.93,negative
62,7.75,0.361,0.877,negative
96,12,0.276,0.883,negative
62,7.75,0.308,0.948,negative
109,12.111,0.219,0.774,negative
32,1.143,0.488,0.743,positive
215,30.714,0.548,0.997,negative
83,9.222,0.376,0.687,negative
181,20.111,0.361,0.74,negative
107,13.375,0.363,0.734,negative
102,11.333,0.386,0.895,negative
250,27.778,0.347,0.737,negative
185,20.556,0.386,0.686,negative
169,18.778,0.343,0.696,negative
98,49,0.48,0.653,positive
415,207.5,0.505,0.578,positive
63,31.5,0.341,0.508,positive
29,5.8,0.4,0.966,negative
151,16.778,0.184,0.5,negative
535,59.444,0.163,0.6,negative
535,59.444,0.184,0.676,negative
279,31,0.097,0.339,negative
233,29.125,0.151,0.665,negative
510,56.667,0.148,0.537,negative
525,65.625,0.095,0.444,negative
536,59.556,0.189,0.813,negative
536,59.556,0.091,0.358,negative
299,33.222,0.133,0.574,negative
217,24.111,0.168,0.686,negative
102,11.333,0.183,0.804,negative
535,59.444,0.136,0.498,negative
86,12.286,0.244,0.831,negative
505,56.111,0.189,0.626,negative
475,237.5,0.504,0.544,positive
99,49.5,0.253,0.616,positive
75,12.5,0.356,0.973,negative
61,7.625,0.207,0.803,negative
336,33.6,0.163,0.623,negative
155,22.143,0.178,0.614,negative
535,59.444,0.165,0.636,negative
298,37.25,0.138,0.592,negative
219,31.286,0.182,0.798,negative
299,37.375,0.186,0.687,negative
219,24.333,0.109,0.538,negative
537,268.5,0.52,0.621,positive
198,24.75,0.215,0.832,negative
13,2.6,0.338,0.723,negative
537,537,1,1,positive
105,3.387,0.224,0.417,positive
228,17.538,0.24,0.933,negative
37,2.846,0.306,0.933,negative
178,7.417,0.483,0.933,negative
282,11.75,0.443,0.878,negative
294,11.308,0.453,0.917,negative
186,7.75,0.505,0.989,negative
101,14.429,0.501,0.973,negative
96,13.714,0.274,0.982,negative
61,8.714,0.321,0.965,negative
109,13.625,0.2,0.854,negative
32,1.143,0.462,0.722,positive
215,26.875,0.404,0.789,negative
83,10.375,0.393,0.7,negative
181,20.111,0.35,0.773,negative
108,12,0.345,0.645,negative
103,11.444,0.357,0.864,negative
250,27.778,0.305,0.711,negative
186,23.25,0.399,0.812,negative
169,18.778,0.333,0.726,negative
63,63,1,1,positive
186,186,0.828,1,positive
214,214,1,1,positive
29,5.8,0.317,0.952,negative
151,18.875,0.174,0.627,negative
251,25.1,0.151,0.567,negative
262,37.429,0.152,0.684,negative
207,23,0.177,0.632,negative
262,29.111,0.089,0.43,negative
280,31.111,0.165,0.684,negative
209,26.125,0.173,0.828,negative
103,11.444,0.164,0.771,negative
270,30,0.111,0.495,negative
198,28.286,0.17,0.713,negative
343,42.875,0.129,0.605,negative
175,25,0.186,0.906,negative
492,54.667,0.132,0.541,negative
174,19.333,0.15,0.738,negative
143,143,0.133,1,negative
109,109,0.183,1,negative
535,59.444,0.106,0.47,negative
86,8.6,0.145,0.637,negative
219,21.9,0.153,0.601,negative
59,8.429,0.15,0.576,negative
123,123,0.163,1,negative
62,8.857,0.189,0.756,negative
314,34.889,0.156,0.587,negative
80,11.429,0.155,0.698,negative
62,62,0.984,1,positive
148,148,0.986,1,positive
278,278,0.946,1,positive
75,15,0.269,0.979,negative
151,16.778,0.139,0.549,negative
251,25.1,0.141,0.621,negative
141,20.143,0.163,0.787,negative
60,60,0.2,1,negative
127,14.111,0.174,0.718,negative
199,24.875,0.115,0.575,negative
89,89,0.169,1,negative
175,21.875,0.156,0.882,negative
203,25.375,0.149,0.767,negative
36,36,0.222,1,negative
69,8.625,0.159,0.772,negative
318,31.8,0.128,0.511,negative
141,20.143,0.16,0.757,negative
250,25,0.12,0.603,negative
198,28.286,0.055,0.359,negative
26,26,1,1,positive
13,13,1,1,positive
145,145,0.972,1,positive
36,36,0.306,1,positive
81,81,0.901,1,positive
187,187,0.963,1,positive
148,21.143,0.184,0.816,negative
37,1.194,0.189,0.555,positive
57,4.071,0.714,0.94,negative
138,10.615,0.232,0.697,negative
104,8,0.246,0.699,negative
38,2.923,0.285,0.907,negative
178,7.12,0.49,0.896,negative
187,7.792,0.485,0.918,negative
84,3.5,0.474,0.872,negative
187,7.48,0.486,0.939,negative
294,11.76,0.471,0.907,negative
86,10.75,0.494,0.945,negative
101,12.625,0.29,0.978,negative
63,7.875,0.321,0.954,negative
108,12,0.247,0.855,negative
32,1.143,0.501,0.744,negative
215,26.875,0.416,0.808,negative
84,9.333,0.329,0.632,negative
183,20.333,0.327,0.744,negative
110,12.222,0.311,0.627,negative
105,11.667,0.334,0.869,negative
249,27.667,0.301,0.739,negative
191,21.222,0.328,0.747,negative
168,18.667,0.315,0.697,negative
538,269,0.519,0.684,positive
511,63.875,0.084,0.338,negative
14,2,0.296,0.786,negative
538,269,0.637,0.703,positive
32,5.333,0.365,0.958,negative
176,17.6,0.181,0.552,negative
510,56.667,0.075,0.288,negative
15,1.875,0.25,0.808,negative
309,30.9,0.2,0.73,negative
187,23.375,0.155,0.747,negative
14,1.75,0.286,0.884,negative
511,51.1,0.161,0.634,negative
14,1.75,0.25,0.786,negative
40,5,0.281,0.872,negative
511,46.455,0.17,0.538,negative
15,1.875,0.325,0.833,negative
511,51.1,0.115,0.414,negative
15,1.875,0.267,0.767,negative
83,8.3,0.208,0.667,negative
474,47.4,0.187,0.578,negative
45,6.429,0.254,0.813,negative
14,2,0.316,0.776,negative
137,13.7,0.191,0.693,negative
375,28.846,0.154,0.519,negative
38,4.75,0.128,0.444,negative
129,14.333,0.169,0.647,negative
15,1.875,0.317,0.742,negative
73,9.125,0.235,0.803,negative
510,51,0.162,0.537,negative
15,2.143,0.4,0.924,negative
107,11.889,0.209,0.778,negative
511,51.1,0.141,0.542,negative
15,1.875,0.292,0.808,negative
537,268.5,0.538,0.555,positive
83,13.833,0.329,0.823,negative
175,19.444,0.177,0.624,negative
511,51.1,0.158,0.625,negative
15,1.875,0.283,0.65,negative
508,50.8,0.16,0.628,negative
490,54.444,0.067,0.323,negative
14,1.75,0.295,0.857,negative
41,5.857,0.254,0.697,negative
510,51,0.163,0.542,negative
195,21.667,0.126,0.383,negative
195,24.375,0.175,0.965,negative
13,1.857,0.374,1,negative
69,34.5,0.087,0.507,negative
538,179.33,0.37,0.424,positive
114,14.25,0.116,0.408,negative
14,2,0.316,0.908,negative
537,179,0.353,0.364,positive
57,4.071,0.742,0.97,negative
227,16.214,0.237,0.839,negative
38,2.923,0.324,0.935,negative
61,2.179,0.172,0.509,positive
98,24.5,0.523,0.98,negative
177,7.375,0.514,0.961,negative
281,11.708,0.468,0.903,negative
186,7.44,0.485,0.942,negative
292,11.68,0.479,0.954,negative
57,7.125,0.434,0.958,negative
111,12.333,0.218,0.81,negative
100,14.286,0.279,0.98,negative
63,9,0.338,0.998,negative
31,1.107,0.508,0.767,positive
215,30.714,0.538,0.993,negative
82,9.111,0.383,0.641,negative
181,20.111,0.375,0.738,negative
106,11.778,0.373,0.649,negative
102,11.333,0.404,0.893,negative
124,15.5,0.427,0.847,negative
185,20.556,0.417,0.786,negative
166,18.444,0.386,0.75,negative
537,268.5,0.621,0.747,positive
31,6.2,0.419,0.948,negative
34,4.857,0.265,0.748,negative
511,56.778,0.164,0.509,negative
173,24.714,0.207,0.86,negative
167,167,0.192,1,negative
21,10.5,0.167,0.643,negative
148,16.444,0.198,0.77,negative
535,59.444,0.192,0.658,negative
506,50.6,0.15,0.589,negative
521,74.429,0.091,0.386,negative
536,59.556,0.126,0.493,negative
53,7.571,0.267,0.679,negative
352,39.111,0.205,0.692,negative
171,19,0.121,0.574,negative
102,11.333,0.193,0.768,negative
194,21.556,0.191,0.691,negative
256,28.444,0.099,0.446,negative
60,60,0.2,1,negative
537,268.5,0.538,0.594,positive
80,13.333,0.352,0.96,negative
148,18.5,0.196,0.718,negative
510,56.667,0.161,0.595,negative
218,27.25,0.144,0.574,negative
279,139.5,0.075,0.545,negative
301,33.444,0.178,0.694,negative
218,31.143,0.142,0.623,negative
534,59.333,0.169,0.667,negative
213,23.667,0.203,0.784,negative
143,20.429,0.113,0.528,negative
317,31.7,0.124,0.484,negative
205,29.286,0.109,0.573,negative
194,21.556,0.169,0.597,negative
245,35,0.143,0.608,negative
65,65,0.2,1,negative
180,20,0.16,0.523,negative
172,19.111,0.171,0.731,negative
72,9,0.198,0.736,negative
158,19.75,0.102,0.346,negative
92,13.143,0.143,0.713,negative
45,45,0.2,1,negative
102,12.75,0.212,0.884,negative
535,59.444,0.156,0.688,negative
151,21.571,0.077,0.434,negative
363,40.333,0.128,0.532,negative
537,268.5,0.556,0.655,positive
57,4.071,0.727,0.951,negative
150,10.714,0.225,0.681,negative
104,8,0.198,0.639,negative
38,2.923,0.334,0.937,negative
61,2.033,0.157,0.483,positive
99,24.75,0.503,0.942,negative
178,7.12,0.475,0.873,negative
186,7.44,0.456,0.868,negative
84,3.36,0.443,0.82,negative
186,7.75,0.514,0.988,negative
292,11.68,0.472,0.915,negative
112,12.444,0.213,0.835,negative
60,7.5,0.433,0.842,negative
100,12.5,0.245,0.863,negative
63,9,0.338,0.941,negative
32,1.103,0.476,0.72,positive
216,27,0.408,0.747,negative
82,10.25,0.434,0.75,negative
181,20.111,0.369,0.737,negative
107,11.889,0.371,0.65,negative
103,11.444,0.399,0.831,negative
124,13.778,0.367,0.705,negative
186,20.667,0.425,0.786,negative
167,18.556,0.378,0.727,negative
537,268.5,0.537,0.609,positive
105,15,0.127,0.41,negative
315,45,0.056,0.248,negative
13,1.857,0.33,0.923,negative
538,269,0.518,0.596,positive
32,5.333,0.286,0.76,negative
62,7.75,0.214,0.645,negative
278,30.889,0.176,0.594,negative
216,27,0.156,0.511,negative
13,1.857,0.363,0.835,negative
492,54.667,0.209,0.781,negative
341,37.889,0.072,0.305,negative
14,2.333,0.393,0.905,negative
104,52,0.063,0.529,negative
99,11,0.189,0.745,negative
376,41.778,0.225,0.875,negative
120,13.333,0.176,0.752,negative
13,2.167,0.372,0.987,negative
511,56.778,0.225,0.798,negative
284,31.556,0.137,0.456,negative
172,19.111,0.167,0.678,negative
14,2,0.347,0.949,negative
259,28.778,0.189,0.697,negative
143,20.429,0.105,0.526,negative
13,2.167,0.346,0.846,negative
510,63.75,0.144,0.531,negative
14,2,0.327,0.939,negative
177,19.667,0.196,0.75,negative
353,39.222,0.187,0.634,negative
144,16,0.123,0.612,negative
14,2.333,0.321,0.881,negative
511,51.1,0.141,0.529,negative
14,2.8,0.257,0.814,negative
510,56.667,0.171,0.695,negative
488,54.222,0.074,0.343,negative
13,2.167,0.359,1,negative
99,11,0.21,0.778,negative
306,34,0.213,0.807,negative
163,18.111,0.148,0.667,negative
13,2.167,0.295,1,negative
537,268.5,0.523,0.567,positive
81,13.5,0.282,0.852,negative
66,7.333,0.241,0.707,negative
164,18.222,0.189,0.65,negative
71,10.143,0.193,0.672,negative
14,2,0.245,0.867,negative
177,177,0.203,1,negative
61,6.778,0.213,0.683,negative
268,29.778,0.198,0.637,negative
186,20.667,0.16,0.814,negative
13,2.167,0.179,0.923,negative
511,51.1,0.134,0.557,negative
13,1.857,0.242,0.857,negative
510,56.667,0.149,0.592,negative
13,1.857,0.286,0.923,negative
102,11.333,0.214,0.708,negative
273,34.125,0.215,0.808,negative
223,31.857,0.121,0.527,negative
14,2,0.316,0.827,negative
259,28.778,0.22,0.749,negative
50,7.143,0.214,0.96,negative
13,2.6,0.262,0.769,negative
31,31,0.226,1,negative
535,267.5,0.55,0.586,positive
58,4.143,0.683,0.927,negative
227,17.462,0.226,0.837,negative
38,2.923,0.312,0.955,negative
61,2.103,0.121,0.431,positive
98,19.6,0.316,0.704,negative
178,7.417,0.491,0.969,negative
280,11.667,0.452,0.899,negative
187,7.48,0.472,0.943,negative
292,11.68,0.45,0.914,negative
111,12.333,0.184,0.771,negative
99,12.375,0.211,0.886,negative
64,8,0.252,0.865,negative
100,12.5,0.485,0.879,negative
32,1.103,0.432,0.689,positive
215,26.875,0.367,0.746,negative
82,10.25,0.393,0.764,negative
180,22.5,0.371,0.832,negative
107,11.889,0.328,0.656,negative
102,11.333,0.357,0.867,negative
123,13.667,0.331,0.65,negative
186,20.667,0.372,0.778,negative
166,18.444,0.336,0.723,negative
500,166.67,0.373,0.421,positive
32,16,0.516,0.531,positive
31,5.167,0.301,0.844,negative
148,18.5,0.182,0.625,negative
457,50.778,0.173,0.63,negative
40,40,0.2,1,negative
523,65.375,0.06,0.305,negative
509,56.556,0.096,0.379,negative
140,20,0.131,0.666,negative
331,36.778,0.195,0.78,negative
168,24,0.081,0.369,negative
13,1.857,0.209,0.846,negative
69,8.625,0.205,0.826,negative
326,36.222,0.171,0.641,negative
171,24.429,0.16,0.605,negative
13,1.857,0.275,0.758,negative
101,11.222,0.196,0.771,negative
267,29.667,0.164,0.73,negative
136,19.429,0.18,0.775,negative
99,99,0.192,1,negative
535,66.875,0.171,0.697,negative
536,268,0.568,0.688,positive
81,13.5,0.282,0.932,negative
148,16.444,0.146,0.558,negative
264,29.333,0.197,0.656,negative
131,21.833,0.106,0.471,negative
70,70,0.2,1,negative
332,36.889,0.159,0.712,negative
190,23.75,0.118,0.62,negative
71,10.143,0.231,0.757,negative
310,34.444,0.17,0.792,negative
169,24.143,0.167,0.785,negative
241,30.125,0.119,0.498,negative
68,11.333,0.172,0.931,negative
104,104,0.192,1,negative
102,11.333,0.18,0.759,negative
233,25.889,0.165,0.687,negative
117,16.714,0.186,0.847,negative
508,56.444,0.128,0.53,negative
242,30.25,0.128,0.574,negative
74,74,0.189,1,negative
40,5.714,0.232,0.707,negative
535,59.444,0.157,0.594,negative
71,11.833,0.131,0.784,negative
504,50.4,0.139,0.665,negative
375,53.571,0.092,0.428,negative
45,22.5,0.078,0.944,negative
69,9.857,0.188,0.754,negative
112,16,0.168,0.667,negative
118,118,0.186,1,negative
50,50,0.2,1,negative
536,268,0.586,0.686,positive
14,7,0.393,0.536,negative
39,6.5,0.192,0.197,positive
278,23.167,0.11,0.144,positive
22,22,0.955,1,positive
54,54,0.944,1,positive
16,16,1,1,positive
10,2,0.28,0.74,negative
75,10.714,0.661,0.907,negative
158,1.033,0.587,0.641,positive
277,3.337,0.18,0.365,positive
149,1.795,0.388,0.472,positive
1,0.019,1,1,positive
1,0.026,1,1,positive
40,4,0.278,0.615,negative
38,4.222,0.313,0.62,negative
155,14.091,0.257,0.584,negative
1,0.026,1,1,positive
20,1.818,0.223,0.373,negative
17,1.7,0.318,0.529,negative
53,4.818,0.225,0.485,negative
25,25,1,1,positive
413,413,0.998,1,positive
15,15,0.867,1,positive
93,0.979,0.675,0.902,positive
12,0.857,0.661,0.851,negative
55,5.5,0.678,0.827,negative
27,2.7,0.63,0.833,negative
3,0.052,0.339,0.345,positive
118,10.727,0.408,0.616,negative
162,16.2,0.454,0.573,negative
9,1,0.728,0.889,negative
84,7,0.42,0.565,negative
67,7.444,0.468,0.823,negative
79,7.9,0.306,0.818,negative
190,17.273,0.239,0.457,negative
3,1,0.778,0.778,negative
180,180,0.983,1,positive
22,22,0.818,1,positive
11,11,1,1,positive
7,7,1,1,positive
10,10,0.8,1,positive
1,0.019,1,1,positive
5,0.357,0.443,0.514,negative
11,0.786,0.526,0.708,negative
37,3.7,0.592,0.722,negative
48,4.8,0.579,0.706,negative
80,8,0.553,0.719,negative
22,2.2,0.591,0.855,negative
71,6.455,0.461,0.659,negative
80,6.154,0.434,0.536,negative
36,4,0.654,0.92,negative
14,1.556,0.706,0.865,negative
15,2.143,0.705,0.971,negative
41,3.727,0.337,0.634,negative
1,0.019,1,1,positive
288,26.182,0.248,0.5,negative
27,1.929,0.479,0.709,negative
123,11.182,0.48,0.656,negative
67,5.154,0.432,0.517,negative
31,3.1,0.645,0.774,negative
18,1.8,0.55,0.656,negative
40,3.333,0.46,0.592,negative
10,1,0.56,0.69,negative
71,5.917,0.481,0.757,negative
85,7.083,0.476,0.614,negative
104,1.118,0.451,0.611,positive
185,16.818,0.356,0.772,negative
1,0.027,1,1,positive
331,27.583,0.237,0.535,negative
11,0.733,0.503,0.685,negative
12,0.857,0.429,0.732,negative
1,0.024,1,1,positive
340,24.286,0.383,0.521,negative
257,21.417,0.283,0.615,negative
342,26.308,0.231,0.548,negative
17,1.545,0.321,0.652,negative
13,2.167,0.346,0.577,negative
4,1.333,0.75,0.75,negative
7,7,1,1,negative
1,0.029,1,1,positive
379,379,0.963,1,positive
9,0.692,0.402,0.684,negative
6,0.462,0.436,0.449,negative
53,4.077,0.509,0.624,negative
45,3.462,0.429,0.566,negative
57,5.7,0.556,0.719,negative
50,5,0.602,0.746,negative
12,1.333,0.648,0.741,negative
1,0.032,1,1,positive
7,1,0.918,0.959,negative
8,0.889,0.583,0.972,negative
67,5.154,0.441,0.83,negative
45,3.75,0.467,0.694,negative
228,20.727,0.282,0.621,negative
80,8,0.275,0.435,negative
275,25,0.287,0.637,negative
89,8.9,0.252,0.496,negative
179,16.273,0.33,0.733,negative
320,26.667,0.231,0.514,negative
1,0.045,1,1,positive
14,14,0.643,1,positive
16,8,0.25,0.531,positive
19,19,0.579,1,positive
136,136,0.963,1,positive
11,11,0.909,1,positive
36,5.143,0.567,0.929,negative
12,12,0.75,1,positive
14,14,0.643,1,positive
15,15,0.733,1,positive
14,14,1,1,positive
104,104,0.971,1,positive
29,29,0.931,1,positive
78,78,0.949,1,positive
9,2.25,0.611,0.611,positive
145,0.863,0.798,0.963,positive
70,10,0.535,0.971,negative
314,3.783,0.298,0.671,positive
83,9.222,0.371,0.727,negative
155,15.5,0.326,0.642,negative
139,17.375,0.16,0.692,negative
137,34.25,0.173,0.622,negative
71,5.917,0.631,0.904,negative
36,36,0.583,1,positive
18,18,0.5,1,positive
99,4.125,0.912,0.96,negative
1,0.143,1,1,positive
90,8.182,0.47,0.718,negative
10,1,0.5,0.53,negative
43,5.375,0.445,0.86,negative
337,14.042,0.945,1,negative
402,28.714,0.399,0.631,negative
20,2,0.61,0.845,negative
1,0.071,1,1,positive
259,25.9,0.351,0.779,negative
125,5.208,0.915,0.959,negative
441,33.923,0.374,0.625,negative
18,2,0.519,0.796,negative
314,22.429,0.379,0.721,negative
159,15.9,0.377,0.763,negative
421,30.071,0.379,0.581,negative
3,1,0.778,0.778,negative
18,1.8,0.539,0.811,negative
91,6.5,0.389,0.628,negative
161,14.636,0.329,0.605,negative
371,26.5,0.38,0.59,negative
19,1.9,0.605,0.816,negative
322,24.769,0.375,0.714,negative
