Sex,Length,Diameter,Whole_weight,Shucked_weight,Shell_weight,Class
M,0.32,0.24,0.18,0.08,0.055,negative
M,0.44,0.35,0.4585,0.2,0.13,negative
F,0.44,0.33,0.4005,0.143,0.12,negative
F,0.5,0.4,0.5765,0.2395,0.185,negative
M,0.385,0.295,0.335,0.147,0.09,negative
F,0.57,0.465,0.9995,0.405,0.295,negative
F,0.56,0.425,0.932,0.361,0.335,negative
F,0.45,0.36,0.5065,0.222,0.16,negative
M,0.68,0.53,1.496,0.5825,0.465,negative
I,0.46,0.35,0.3945,0.1685,0.125,negative
I,0.32,0.24,0.1735,0.076,0.05,negative
M,0.47,0.37,0.4665,0.2025,0.155,negative
M,0.565,0.425,0.7145,0.3055,0.18,negative
F,0.59,0.455,0.966,0.391,0.31,negative
M,0.455,0.35,0.401,0.1575,0.135,negative
F,0.415,0.325,0.3455,0.1405,0.11,negative
M,0.465,0.35,0.5205,0.2015,0.185,negative
M,0.46,0.375,0.4935,0.186,0.17,negative
M,0.27,0.195,0.106,0.0465,0.036,negative
M,0.445,0.355,0.4415,0.1805,0.1505,negative
M,0.415,0.31,0.3245,0.1305,0.115,negative
F,0.745,0.585,1.966,0.8435,0.5855,negative
F,0.4,0.3,0.3025,0.1335,0.0935,negative
I,0.28,0.2,0.1225,0.0545,0.035,negative
M,0.55,0.44,0.879,0.368,0.265,negative
M,0.58,0.46,1.2275,0.473,0.435,negative
M,0.61,0.5,1.2715,0.4915,0.49,negative
M,0.62,0.495,1.806,0.643,0.725,negative
M,0.56,0.42,0.8085,0.3025,0.285,negative
F,0.64,0.51,1.3905,0.61,0.41,negative
M,0.69,0.55,1.8465,0.732,0.57,positive
F,0.71,0.565,1.817,0.785,0.49,negative
F,0.61,0.45,1.136,0.414,0.3,negative
I,0.38,0.28,0.2735,0.115,0.085,negative
F,0.37,0.275,0.2405,0.104,0.07,negative
F,0.715,0.565,2.1995,0.7245,0.885,negative
F,0.55,0.47,0.897,0.377,0.29,negative
M,0.285,0.21,0.1185,0.055,0.04,negative
I,0.19,0.13,0.0295,0.0155,0.01,negative
I,0.215,0.15,0.0385,0.0115,0.01,negative
M,0.595,0.465,0.799,0.3245,0.23,negative
F,0.645,0.5,1.1845,0.4805,0.355,negative
M,0.575,0.45,0.925,0.342,0.35,negative
F,0.57,0.45,1.098,0.414,0.405,negative
F,0.58,0.45,1.071,0.3,0.395,negative
F,0.595,0.48,0.975,0.358,0.34,negative
F,0.595,0.47,1.283,0.462,0.445,negative
F,0.625,0.42,1.0595,0.358,0.445,negative
M,0.535,0.42,0.9195,0.3355,0.26,negative
M,0.55,0.43,0.9295,0.317,0.355,negative
M,0.495,0.4,0.8085,0.2345,0.35,negative
I,0.32,0.235,0.1485,0.064,0.045,negative
M,0.445,0.34,0.4475,0.193,0.13,negative
F,0.52,0.4,0.6865,0.295,0.185,negative
M,0.495,0.385,0.6335,0.2,0.26,negative
M,0.375,0.305,0.3245,0.1395,0.095,negative
M,0.335,0.235,0.1545,0.066,0.045,negative
I,0.165,0.115,0.0145,0.0055,0.005,negative
M,0.47,0.37,0.547,0.222,0.17,negative
F,0.49,0.37,0.585,0.243,0.195,negative
M,0.58,0.47,0.927,0.3215,0.315,negative
M,0.645,0.495,1.4935,0.5265,0.455,negative
F,0.575,0.485,1.0405,0.419,0.3,negative
I,0.43,0.325,0.3675,0.1355,0.12,negative
I,0.26,0.215,0.099,0.037,0.045,negative
I,0.37,0.28,0.233,0.0905,0.07,negative
I,0.405,0.305,0.3625,0.1565,0.125,negative
I,0.215,0.17,0.0605,0.0205,0.02,negative
F,0.68,0.55,1.596,0.525,0.585,negative
I,0.27,0.19,0.081,0.0265,0.03,negative
F,0.65,0.515,1.4005,0.5195,0.44,negative
F,0.645,0.49,1.406,0.4265,0.51,negative
M,0.42,0.345,0.43,0.175,0.13,negative
F,0.29,0.225,0.14,0.0515,0.04,negative
I,0.275,0.22,0.1365,0.0565,0.042,negative
M,0.42,0.34,0.4215,0.175,0.135,negative
F,0.625,0.525,1.5765,0.5115,0.665,negative
F,0.55,0.465,1.2125,0.3245,0.525,negative
M,0.57,0.405,0.9245,0.3445,0.295,positive
F,0.595,0.495,1.366,0.5065,0.52,negative
M,0.63,0.51,1.539,0.5635,0.57,negative
F,0.43,0.325,0.445,0.165,0.155,negative
F,0.455,0.35,0.5725,0.1965,0.175,negative
M,0.615,0.48,1.36,0.5305,0.47,negative
F,0.515,0.415,0.764,0.276,0.25,negative
M,0.495,0.39,0.853,0.3285,0.27,negative
F,0.485,0.375,0.5885,0.2385,0.19,negative
F,0.535,0.46,0.7875,0.3395,0.2,negative
M,0.58,0.465,1.035,0.401,0.385,negative
F,0.625,0.525,1.352,0.4505,0.53,negative
F,0.555,0.455,0.958,0.296,0.39,negative
F,0.55,0.425,0.797,0.297,0.265,negative
M,0.59,0.475,0.857,0.356,0.28,negative
I,0.355,0.28,0.2235,0.0815,0.08,negative
I,0.275,0.2,0.086,0.0305,0.03,negative
F,0.505,0.39,0.692,0.267,0.215,negative
M,0.37,0.28,0.2225,0.0805,0.075,negative
M,0.555,0.43,0.7575,0.2735,0.275,negative
F,0.505,0.4,0.729,0.2675,0.25,negative
F,0.56,0.445,0.903,0.3575,0.295,negative
M,0.595,0.475,1.0965,0.419,0.35,negative
F,0.57,0.45,0.903,0.3305,0.295,negative
M,0.6,0.48,1.229,0.4125,0.415,negative
F,0.56,0.435,1.106,0.422,0.33,negative
M,0.585,0.465,1.171,0.3905,0.4,negative
I,0.46,0.335,0.444,0.225,0.11,negative
F,0.46,0.36,0.4755,0.2105,0.16,negative
M,0.66,0.505,1.6305,0.4865,0.61,negative
M,0.565,0.47,1.142,0.387,0.35,negative
I,0.33,0.26,0.19,0.0765,0.065,negative
M,0.415,0.315,0.388,0.068,0.125,negative
F,0.435,0.32,0.3785,0.152,0.125,negative
F,0.475,0.38,0.486,0.1735,0.185,negative
M,0.465,0.36,0.5265,0.2105,0.165,negative
I,0.355,0.28,0.2275,0.0935,0.085,negative
F,0.38,0.325,0.3105,0.12,0.105,negative
F,0.47,0.365,0.543,0.2295,0.15,negative
M,0.36,0.27,0.2225,0.083,0.075,negative
F,0.585,0.455,0.998,0.345,0.315,negative
M,0.655,0.59,1.5455,0.654,0.415,negative
F,0.57,0.46,1.1,0.4125,0.38,negative
F,0.645,0.5,1.4285,0.639,0.36,negative
M,0.65,0.495,1.793,0.8005,0.53,negative
M,0.51,0.395,0.6185,0.216,0.24,negative
M,0.52,0.38,0.5825,0.2505,0.175,negative
M,0.495,0.415,0.7485,0.264,0.285,negative
M,0.43,0.335,0.406,0.166,0.135,negative
F,0.59,0.465,1.1005,0.506,0.295,negative
M,0.55,0.46,0.869,0.3155,0.32,negative
M,0.585,0.43,0.955,0.3625,0.27,negative
F,0.58,0.455,0.9215,0.312,0.3,negative
F,0.62,0.51,1.456,0.581,0.32,negative
I,0.59,0.45,0.893,0.2745,0.345,negative
F,0.72,0.575,2.226,0.8955,0.62,negative
F,0.635,0.51,1.2125,0.5735,0.36,negative
F,0.61,0.48,1.0675,0.391,0.42,negative
F,0.545,0.445,0.8525,0.3465,0.295,negative
M,0.46,0.375,0.5105,0.192,0.205,negative
M,0.6,0.485,1.2675,0.4995,0.38,negative
M,0.57,0.45,0.8615,0.3725,0.255,negative
F,0.52,0.41,0.8705,0.3735,0.25,negative
M,0.695,0.57,2.033,0.751,0.685,negative
F,0.6,0.475,1.162,0.511,0.32,negative
M,0.655,0.525,1.259,0.487,0.445,negative
M,0.635,0.51,1.598,0.6535,0.58,negative
F,0.67,0.52,1.406,0.519,0.37,negative
M,0.525,0.405,0.7575,0.3305,0.195,negative
M,0.44,0.375,0.487,0.226,0.155,negative
F,0.62,0.48,1.0935,0.403,0.355,negative
I,0.485,0.415,0.5705,0.25,0.185,negative
F,0.495,0.385,0.6905,0.3125,0.175,negative
I,0.435,0.345,0.4475,0.221,0.125,negative
F,0.6,0.475,1.1805,0.4345,0.425,positive
F,0.5,0.395,0.7145,0.3235,0.195,negative
M,0.51,0.405,0.7175,0.3725,0.17,negative
I,0.405,0.315,0.347,0.1605,0.1,negative
I,0.42,0.33,0.352,0.1635,0.1,negative
I,0.325,0.27,0.185,0.08,0.065,negative
M,0.475,0.375,0.563,0.2525,0.185,negative
F,0.385,0.305,0.3315,0.1365,0.1,negative
I,0.34,0.26,0.179,0.076,0.055,negative
I,0.33,0.265,0.18,0.068,0.06,negative
F,0.52,0.415,0.8045,0.3325,0.285,negative
F,0.58,0.475,0.974,0.4305,0.285,negative
F,0.38,0.3,0.3215,0.1545,0.095,negative
I,0.415,0.325,0.385,0.167,0.125,negative
M,0.525,0.425,0.702,0.3335,0.22,negative
F,0.535,0.45,0.8075,0.322,0.25,negative
F,0.52,0.425,0.813,0.385,0.23,negative
M,0.46,0.375,0.5735,0.2505,0.195,negative
F,0.58,0.455,0.94,0.399,0.265,negative
M,0.59,0.49,1.008,0.422,0.285,negative
F,0.55,0.415,0.775,0.302,0.26,negative
F,0.65,0.5,1.1445,0.485,0.365,negative
F,0.465,0.375,0.6,0.2225,0.23,negative
M,0.455,0.355,0.515,0.2,0.175,negative
M,0.47,0.375,0.5795,0.2145,0.195,negative
F,0.435,0.35,0.384,0.143,0.125,negative
M,0.35,0.265,0.2965,0.1365,0.085,negative
I,0.315,0.24,0.137,0.0545,0.04,negative
M,0.595,0.47,0.991,0.4035,0.34,negative
F,0.58,0.475,0.925,0.391,0.275,negative
M,0.575,0.435,0.805,0.293,0.27,negative
M,0.535,0.435,0.8915,0.3415,0.25,negative
M,0.515,0.42,0.769,0.2505,0.29,negative
F,0.505,0.385,0.6185,0.251,0.2,negative
M,0.475,0.36,0.578,0.2825,0.17,negative
I,0.495,0.385,0.585,0.2755,0.165,negative
F,0.48,0.405,0.6375,0.277,0.21,negative
F,0.505,0.395,0.6515,0.2695,0.205,negative
I,0.4,0.31,0.2875,0.1145,0.095,negative
M,0.49,0.395,0.5545,0.213,0.215,negative
M,0.53,0.435,0.7365,0.3275,0.22,negative
I,0.395,0.325,0.306,0.111,0.095,negative
F,0.665,0.535,1.496,0.5775,0.475,negative
F,0.525,0.425,0.7995,0.3345,0.24,negative
I,0.48,0.39,0.5825,0.2315,0.255,negative
I,0.42,0.345,0.3435,0.1515,0.115,negative
M,0.59,0.46,0.906,0.327,0.335,negative
F,0.515,0.42,0.6295,0.2815,0.215,negative
M,0.695,0.55,1.5515,0.566,0.445,negative
F,0.8,0.63,2.526,0.933,0.62,negative
M,0.61,0.49,1.103,0.425,0.36,negative
F,0.565,0.48,0.957,0.3885,0.275,negative
M,0.56,0.455,0.86,0.4015,0.245,negative
F,0.415,0.305,0.3605,0.12,0.1,negative
M,0.64,0.52,1.407,0.566,0.455,negative
M,0.475,0.395,0.592,0.2465,0.2,negative
F,0.59,0.47,0.9,0.355,0.25,negative
I,0.255,0.185,0.075,0.028,0.025,negative
M,0.655,0.485,1.62,0.6275,0.485,negative
I,0.31,0.24,0.1455,0.0605,0.045,negative
I,0.17,0.125,0.0235,0.009,0.008,negative
M,0.43,0.345,0.3045,0.0925,0.12,negative
F,0.71,0.565,1.7265,0.638,0.565,negative
F,0.56,0.43,0.8025,0.313,0.263,negative
M,0.505,0.4,0.764,0.3035,0.2175,negative
M,0.525,0.43,0.8645,0.376,0.2515,negative
F,0.45,0.36,0.4715,0.2035,0.149,negative
F,0.515,0.435,0.631,0.2765,0.216,negative
M,0.59,0.475,0.9455,0.3815,0.27,positive
M,0.7,0.53,1.3185,0.548,0.42,negative
F,0.72,0.56,1.7265,0.637,0.525,negative
M,0.635,0.495,1.081,0.4825,0.31,negative
M,0.555,0.44,0.9025,0.3805,0.28,negative
M,0.575,0.47,1.1415,0.4515,0.4,negative
M,0.585,0.455,1.027,0.391,0.25,negative
F,0.61,0.485,1.3445,0.535,0.515,negative
F,0.645,0.525,1.449,0.601,0.505,negative
F,0.545,0.44,0.7745,0.2985,0.265,negative
M,0.55,0.45,0.7895,0.343,0.25,negative
F,0.66,0.525,1.3665,0.5005,0.41,negative
M,0.57,0.475,1.0295,0.4635,0.305,negative
F,0.6,0.47,1.031,0.392,0.29,negative
F,0.63,0.505,1.065,0.4595,0.315,negative
M,0.695,0.57,1.885,0.8665,0.5,positive
M,0.65,0.545,1.2425,0.487,0.48,negative
F,0.72,0.595,1.969,0.8045,0.66,negative
I,0.56,0.44,0.9445,0.3545,0.3,negative
I,0.42,0.325,0.354,0.1625,0.105,negative
M,0.67,0.55,1.247,0.472,0.4,negative
I,0.435,0.335,0.383,0.1555,0.135,negative
M,0.34,0.275,0.2065,0.0725,0.07,negative
F,0.405,0.325,0.3575,0.145,0.11,negative
M,0.18,0.125,0.023,0.0085,0.01,negative
F,0.5,0.405,0.5965,0.253,0.185,negative
F,0.43,0.34,0.382,0.154,0.109,negative
I,0.535,0.41,0.6315,0.2745,0.1815,negative
I,0.415,0.325,0.3285,0.1405,0.106,negative
F,0.36,0.265,0.2165,0.096,0.0735,negative
M,0.175,0.135,0.0305,0.011,0.01,negative
M,0.155,0.115,0.024,0.009,0.0075,negative
I,0.525,0.43,0.7365,0.3225,0.215,negative
F,0.525,0.39,0.6005,0.2265,0.21,negative
F,0.44,0.345,0.4285,0.165,0.132,negative
F,0.45,0.345,0.496,0.1905,0.14,negative
F,0.485,0.365,0.6195,0.2595,0.177,negative
I,0.47,0.35,0.567,0.2315,0.1525,negative
I,0.515,0.375,0.6505,0.2495,0.2215,negative
M,0.42,0.34,0.4495,0.165,0.144,negative
F,0.455,0.35,0.4485,0.1585,0.1335,negative
M,0.37,0.29,0.241,0.11,0.069,negative
M,0.33,0.25,0.197,0.085,0.0605,negative
I,0.3,0.22,0.1425,0.057,0.043,negative
I,0.625,0.46,1.2395,0.55,0.38,negative
I,0.61,0.475,1.0385,0.4435,0.32,negative
I,0.625,0.465,0.972,0.404,0.35,negative
I,0.635,0.505,1.3315,0.5805,0.435,negative
I,0.5,0.385,0.762,0.3795,0.19,negative
F,0.585,0.415,0.6985,0.3,0.195,negative
F,0.53,0.43,0.775,0.35,0.235,negative
I,0.445,0.33,0.437,0.163,0.17,negative
I,0.44,0.355,0.435,0.159,0.14,negative
M,0.29,0.225,0.1295,0.0535,0.045,negative
I,0.555,0.455,0.8435,0.309,0.3,negative
I,0.655,0.515,1.25,0.5265,0.315,negative
F,0.58,0.46,1.017,0.3515,0.32,negative
I,0.625,0.43,1.411,0.572,0.395,negative
I,0.62,0.485,1.208,0.4805,0.33,negative
F,0.505,0.375,0.5895,0.2635,0.167,negative
F,0.64,0.5,1.0705,0.371,0.36,negative
F,0.505,0.38,0.651,0.2935,0.17,negative
I,0.5,0.395,0.537,0.2165,0.1785,negative
M,0.31,0.245,0.15,0.0525,0.048,negative
M,0.31,0.235,0.12,0.0415,0.04,negative
I,0.42,0.305,0.28,0.094,0.0955,negative
F,0.465,0.35,0.494,0.1945,0.155,negative
F,0.465,0.36,0.4765,0.192,0.16,negative
M,0.4,0.315,0.287,0.1135,0.113,negative
M,0.35,0.255,0.2145,0.1,0.06,negative
M,0.425,0.315,0.3525,0.1135,0.13,negative
I,0.52,0.415,0.595,0.2105,0.26,negative
F,0.475,0.365,0.4805,0.1905,0.1475,negative
F,0.41,0.315,0.321,0.1255,0.095,negative
M,0.26,0.2,0.096,0.044,0.03,negative
I,0.575,0.45,0.9315,0.358,0.26,negative
I,0.565,0.435,0.782,0.2715,0.285,negative
M,0.26,0.19,0.0945,0.0445,0.03,negative
F,0.53,0.385,0.6695,0.289,0.18,negative
M,0.34,0.255,0.213,0.081,0.07,negative
I,0.52,0.38,0.525,0.1775,0.185,negative
F,0.635,0.5,1.312,0.529,0.485,negative
F,0.61,0.485,1.087,0.4255,0.38,negative
F,0.66,0.515,1.523,0.54,0.555,negative
I,0.635,0.5,1.319,0.5485,0.49,negative
F,0.465,0.38,0.579,0.208,0.22,negative
M,0.515,0.4,0.8175,0.2515,0.3,negative
I,0.335,0.24,0.17,0.062,0.055,negative
F,0.515,0.4,0.796,0.258,0.28,negative
F,0.345,0.255,0.197,0.071,0.06,negative
M,0.465,0.355,0.5255,0.2025,0.145,negative
F,0.445,0.335,0.4565,0.1785,0.14,negative
M,0.54,0.415,0.879,0.339,0.255,negative
M,0.475,0.355,0.4625,0.186,0.145,negative
M,0.5,0.355,0.528,0.2125,0.14,negative
M,0.5,0.38,0.5835,0.2295,0.18,negative
F,0.55,0.435,0.884,0.2875,0.28,negative
F,0.42,0.33,0.463,0.186,0.145,negative
M,0.35,0.26,0.198,0.0725,0.06,negative
M,0.395,0.305,0.282,0.0975,0.096,negative
F,0.35,0.265,0.1855,0.0745,0.06,negative
I,0.275,0.205,0.096,0.036,0.03,negative
I,0.235,0.17,0.0625,0.023,0.022,negative
I,0.275,0.2,0.092,0.0385,0.027,negative
I,0.25,0.18,0.073,0.028,0.0225,negative
I,0.25,0.185,0.071,0.027,0.0225,negative
I,0.2,0.145,0.036,0.0125,0.011,negative
I,0.325,0.2,0.0995,0.0395,0.032,negative
F,0.585,0.47,1.099,0.3975,0.358,negative
F,0.37,0.285,0.27,0.1125,0.0835,negative
M,0.445,0.35,0.5905,0.2025,0.19,negative
F,0.5,0.385,0.768,0.2625,0.27,negative
M,0.44,0.325,0.413,0.144,0.13,negative
M,0.5,0.39,0.709,0.275,0.18,negative
M,0.425,0.325,0.3755,0.142,0.105,negative
F,0.37,0.275,0.227,0.093,0.07,negative
M,0.51,0.415,0.8185,0.3025,0.235,negative
M,0.54,0.415,0.8245,0.272,0.24,negative
M,0.515,0.405,0.8505,0.312,0.315,negative
F,0.52,0.405,0.6915,0.276,0.215,negative
M,0.615,0.475,1.1825,0.474,0.24,negative
M,0.565,0.44,1.122,0.393,0.375,negative
M,0.645,0.515,1.6115,0.6745,0.385,negative
F,0.615,0.47,1.2985,0.5135,0.32,negative
M,0.605,0.49,1.3,0.517,0.31,negative
F,0.59,0.455,1.161,0.38,0.28,negative
M,0.645,0.485,1.489,0.5915,0.38,negative
M,0.57,0.42,1.008,0.377,0.34,negative
F,0.47,0.355,0.441,0.1525,0.135,negative
F,0.5,0.44,0.742,0.2025,0.2115,negative
F,0.52,0.425,0.7,0.207,0.24,negative
M,0.39,0.285,0.271,0.11,0.08,negative
M,0.52,0.4,0.8565,0.2745,0.21,negative
F,0.54,0.415,0.8975,0.275,0.275,negative
M,0.46,0.36,0.6105,0.1955,0.235,negative
I,0.355,0.26,0.1925,0.077,0.065,negative
F,0.49,0.4,0.6635,0.21,0.2515,negative
F,0.63,0.51,1.235,0.5115,0.3065,negative
M,0.5,0.385,0.7615,0.246,0.204,negative
M,0.49,0.39,0.592,0.242,0.1835,negative
M,0.44,0.325,0.39,0.163,0.113,negative
F,0.515,0.395,0.7565,0.1905,0.3205,negative
F,0.475,0.38,0.57,0.167,0.187,negative
I,0.42,0.31,0.2865,0.115,0.085,negative
M,0.4,0.305,0.2935,0.096,0.105,negative
M,0.45,0.36,0.567,0.174,0.225,negative
F,0.52,0.4,0.6245,0.215,0.17,negative
M,0.505,0.4,0.8415,0.2715,0.285,negative
F,0.33,0.26,0.2,0.0625,0.07,negative
I,0.285,0.21,0.109,0.044,0.033,negative
I,0.3,0.23,0.127,0.052,0.0345,negative
I,0.31,0.24,0.2885,0.118,0.083,negative
M,0.495,0.4,0.7775,0.2015,0.25,negative
M,0.54,0.41,0.989,0.2815,0.355,positive
F,0.48,0.39,0.6905,0.219,0.2,negative
I,0.415,0.325,0.4665,0.2285,0.114,negative
I,0.415,0.315,0.33,0.1405,0.095,negative
I,0.34,0.255,0.18,0.0745,0.0525,negative
I,0.375,0.3,0.144,0.059,0.044,negative
I,0.425,0.31,0.365,0.159,0.105,negative
M,0.465,0.375,0.5,0.21,0.1505,negative
I,0.415,0.315,0.3625,0.175,0.093,negative
F,0.47,0.375,0.6015,0.2765,0.135,negative
I,0.42,0.32,0.34,0.1745,0.0945,negative
I,0.475,0.365,0.53,0.2505,0.1625,negative
M,0.5,0.4,0.7715,0.37,0.211,negative
M,0.48,0.37,0.6315,0.3445,0.161,negative
I,0.505,0.39,0.6125,0.267,0.172,negative
M,0.525,0.425,0.872,0.4625,0.199,negative
F,0.465,0.35,0.6265,0.259,0.175,negative
F,0.565,0.44,0.983,0.4475,0.2485,negative
M,0.58,0.46,1.145,0.48,0.325,negative
I,0.47,0.37,0.5555,0.25,0.163,negative
M,0.54,0.42,0.8115,0.392,0.2235,negative
M,0.59,0.455,1.09,0.5,0.292,negative
M,0.595,0.49,1.185,0.482,0.361,negative
M,0.59,0.48,1.262,0.5685,0.335,negative
F,0.6,0.475,1.4405,0.5885,0.3175,negative
M,0.545,0.45,0.8795,0.387,0.2625,negative
F,0.6,0.5,1.332,0.6235,0.35,negative
F,0.6,0.485,1.1405,0.587,0.288,negative
F,0.625,0.49,1.33,0.6675,0.33,negative
F,0.64,0.5,1.4995,0.593,0.431,negative
M,0.605,0.475,1.201,0.5395,0.309,negative
F,0.655,0.545,1.6225,0.6555,0.513,negative
M,0.63,0.5,1.362,0.5785,0.384,negative
I,0.66,0.525,1.786,0.6725,0.4065,negative
F,0.675,0.555,1.925,0.713,0.4535,negative
M,0.66,0.535,1.791,0.733,0.54,negative
F,0.675,0.55,1.689,0.694,0.474,negative
F,0.69,0.55,1.659,0.8715,0.4395,negative
M,0.64,0.585,1.647,0.7225,0.471,negative
F,0.695,0.53,2.0475,0.75,0.6095,negative
F,0.7,0.525,1.6015,0.707,0.43,negative
F,0.73,0.57,2.0165,1.0685,0.435,negative
I,0.205,0.15,0.04,0.02,0.013,negative
I,0.23,0.18,0.064,0.0215,0.02,negative
I,0.275,0.195,0.0875,0.0345,0.0255,negative
I,0.28,0.21,0.106,0.0415,0.031,negative
I,0.225,0.17,0.0565,0.024,0.016,negative
I,0.28,0.22,0.1315,0.066,0.03,negative
I,0.295,0.22,0.126,0.0515,0.035,negative
I,0.31,0.225,0.155,0.065,0.0365,negative
I,0.315,0.235,0.149,0.058,0.047,negative
I,0.34,0.265,0.185,0.0625,0.07,negative
I,0.37,0.29,0.2545,0.108,0.07,negative
I,0.38,0.285,0.237,0.115,0.07,negative
I,0.39,0.295,0.279,0.1155,0.08,negative
I,0.405,0.31,0.3205,0.1575,0.088,negative
I,0.415,0.325,0.3335,0.1445,0.095,negative
I,0.44,0.335,0.3885,0.175,0.111,negative
I,0.44,0.345,0.545,0.269,0.1305,negative
I,0.44,0.325,0.4165,0.185,0.11,negative
I,0.45,0.35,0.468,0.2005,0.1325,negative
I,0.45,0.35,0.4775,0.2235,0.118,negative
F,0.455,0.35,0.4555,0.1945,0.1375,negative
I,0.46,0.345,0.4155,0.198,0.107,negative
F,0.46,0.35,0.46,0.2025,0.1165,negative
M,0.465,0.34,0.486,0.231,0.1225,negative
I,0.46,0.345,0.4215,0.1895,0.111,negative
I,0.465,0.355,0.474,0.23,0.12,negative
I,0.44,0.355,0.495,0.231,0.125,negative
I,0.475,0.355,0.468,0.201,0.12,negative
I,0.5,0.38,0.494,0.218,0.1325,negative
I,0.505,0.385,0.6005,0.239,0.185,negative
M,0.515,0.395,0.646,0.285,0.172,negative
M,0.525,0.415,0.7945,0.394,0.202,negative
M,0.525,0.425,0.812,0.4035,0.195,negative
F,0.53,0.42,0.828,0.41,0.1505,negative
M,0.53,0.41,0.681,0.3095,0.1835,negative
F,0.53,0.405,0.889,0.4055,0.215,negative
M,0.54,0.435,0.7345,0.33,0.213,negative
F,0.55,0.425,0.964,0.5475,0.215,negative
F,0.555,0.425,0.963,0.44,0.24,negative
F,0.57,0.445,0.995,0.504,0.2505,negative
F,0.57,0.435,0.8585,0.3905,0.2295,negative
M,0.575,0.45,0.948,0.429,0.259,negative
F,0.58,0.445,0.888,0.41,0.2425,negative
F,0.585,0.45,0.9045,0.405,0.2335,negative
I,0.475,0.385,0.5735,0.311,0.136,negative
M,0.59,0.465,1.046,0.4695,0.263,negative
M,0.5,0.375,0.6215,0.274,0.1485,negative
M,0.48,0.37,0.5135,0.243,0.135,negative
F,0.595,0.465,1.0765,0.491,0.287,negative
F,0.595,0.47,1.1775,0.542,0.31,negative
F,0.595,0.465,1.0255,0.412,0.289,negative
F,0.6,0.46,0.9325,0.3985,0.248,negative
F,0.6,0.46,1.235,0.6025,0.29,negative
M,0.6,0.46,1.247,0.5335,0.29,negative
M,0.61,0.48,1.1495,0.564,0.264,negative
F,0.615,0.485,1.1575,0.5005,0.315,negative
F,0.615,0.5,1.327,0.6,0.355,negative
M,0.615,0.47,1.2,0.5085,0.292,negative
F,0.62,0.485,1.2155,0.545,0.345,negative
F,0.62,0.51,1.2705,0.5415,0.3225,negative
F,0.62,0.475,1.3245,0.6865,0.3275,negative
M,0.625,0.48,1.3555,0.671,0.3385,negative
F,0.63,0.495,1.147,0.5455,0.2885,negative
M,0.63,0.48,1.286,0.604,0.35,negative
F,0.635,0.495,1.596,0.617,0.37,negative
F,0.635,0.495,1.297,0.556,0.37,negative
M,0.645,0.49,1.251,0.5355,0.3165,negative
M,0.645,0.5,1.5105,0.6735,0.3775,negative
F,0.625,0.49,1.127,0.477,0.3185,negative
F,0.625,0.49,1.1075,0.4485,0.3595,negative
M,0.67,0.52,1.6385,0.8115,0.391,negative
F,0.69,0.545,1.933,0.7855,0.498,negative
M,0.69,0.54,1.71,0.7725,0.4325,negative
F,0.695,0.55,1.8495,0.767,0.4175,negative
M,0.695,0.525,1.742,0.696,0.505,negative
F,0.7,0.575,1.7975,0.7295,0.5165,negative
F,0.63,0.495,1.4255,0.659,0.38,negative
F,0.65,0.5,1.4415,0.741,0.341,negative
F,0.705,0.56,2.381,0.9915,0.624,negative
M,0.765,0.585,2.398,1.128,0.5335,negative
M,0.77,0.6,2.1945,1.0515,0.584,negative
I,0.22,0.16,0.049,0.0215,0.015,negative
I,0.275,0.205,0.1055,0.495,0.0315,negative
I,0.29,0.21,0.1045,0.0415,0.035,negative
I,0.33,0.24,0.163,0.0745,0.048,negative
I,0.375,0.29,0.219,0.0925,0.075,negative
I,0.355,0.285,0.2275,0.0955,0.0715,negative
I,0.415,0.315,0.3645,0.1765,0.095,negative
I,0.425,0.33,0.3265,0.1315,0.103,negative
I,0.425,0.34,0.3515,0.1625,0.094,negative
I,0.43,0.32,0.3465,0.1635,0.09,negative
I,0.44,0.34,0.407,0.209,0.103,negative
I,0.44,0.335,0.4215,0.173,0.113,negative
I,0.46,0.345,0.3755,0.1525,0.125,negative
I,0.46,0.37,0.5335,0.2645,0.1345,negative
I,0.475,0.365,0.1315,0.2025,0.123,negative
I,0.465,0.355,0.442,0.2085,0.1185,negative
I,0.475,0.375,0.5205,0.233,0.1455,negative
I,0.49,0.375,0.5445,0.279,0.13,negative
I,0.485,0.375,0.5535,0.266,0.157,negative
M,0.49,0.38,0.554,0.2935,0.15,negative
I,0.495,0.38,0.512,0.233,0.136,negative
I,0.5,0.39,0.583,0.294,0.1605,negative
M,0.5,0.38,0.5765,0.273,0.145,negative
I,0.515,0.4,0.5925,0.265,0.168,negative
M,0.505,0.4,0.723,0.377,0.178,negative
I,0.52,0.395,0.633,0.2985,0.175,negative
I,0.51,0.395,0.5395,0.2465,0.167,negative
I,0.51,0.385,0.625,0.3095,0.1725,negative
F,0.545,0.43,0.832,0.4355,0.201,negative
M,0.545,0.42,0.778,0.3745,0.205,negative
M,0.545,0.42,0.7865,0.403,0.17,negative
F,0.545,0.4,0.778,0.368,0.18,negative
I,0.55,0.42,0.636,0.294,0.1755,negative
F,0.55,0.44,0.8435,0.434,0.185,negative
I,0.555,0.425,0.648,0.2835,0.2105,negative
M,0.565,0.43,0.784,0.3495,0.213,negative
F,0.57,0.45,0.908,0.4015,0.255,negative
M,0.57,0.45,1.02,0.546,0.25,negative
